product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
MOUNTAIN EVEREST MAX 그레이,MOUNTAIN,495000,https://img.danuri.io/catalog-image/478/848/017/3841c3bd8b8d4ee9b896210a3b3b190e.jpg?shrink=130:130&_v=20260617080613,기계식,유선,풀배열,45g,1373,유선,영문 정각,RGB 백라이트,저소음 적축,,체리,17848478,,https://prod.danawa.com/info/?pcode=17848478&cate=112782,True
MOUNTAIN EVEREST MAX 그레이,MOUNTAIN,459990,https://img.danuri.io/catalog-image/478/848/017/3841c3bd8b8d4ee9b896210a3b3b190e.jpg?shrink=130:130&_v=20260617080613,기계식,유선,풀배열,45g,1373,유선,영문 정각,RGB 백라이트,갈축,,체리,17848433,,https://prod.danawa.com/info/?pcode=17848433&cate=112782,True
FL-ESPORTS NX108HE 네온 그레이,FL-ESPORTS,98000,https://img.danuri.io/catalog-image/209/685/122/009783ce457e4e1a80d21deb20676af7.jpeg?shrink=130:130&_v=20260617134642,무접점 자석축,유선,풀배열,30g,1180,유선,한/영 정각,RGB 백라이트,레몬축,,,122685209,,https://prod.danawa.com/info/?pcode=122685209&cate=112782,True
FL-ESPORTS NX108HE 네온 그레이,FL-ESPORTS,98000,https://img.danuri.io/catalog-image/209/685/122/009783ce457e4e1a80d21deb20676af7.jpeg?shrink=130:130&_v=20260617134642,무접점 자석축,유선,풀배열,30g,1180,유선,한/영 정각,RGB 백라이트,아이비축,,,122685205,,https://prod.danawa.com/info/?pcode=122685205&cate=112782,True
FL-ESPORTS NX108HE 네온 그레이,FL-ESPORTS,109000,https://img.danuri.io/catalog-image/209/685/122/009783ce457e4e1a80d21deb20676af7.jpeg?shrink=130:130&_v=20260617134642,무접점 자석축,유선,풀배열,30g,1180,유선,한/영 정각,RGB 백라이트,저소음 스톰축,,,122686541,,https://prod.danawa.com/info/?pcode=122686541&cate=112782,True
CORSAIR K65 RGB PLUS 유무선 게이밍 기계식 영문,CORSAIR,155000,https://img.danuri.io/catalog-image/370/686/068/ce58d645723444cba7a4df5468efd385.jpg?shrink=130:130&_v=20260617170902,기계식,유선+무선,미니,40g,918,"전용동글(리시버), 블루투스",영문 정각,RGB 백라이트,,,CORSAIR,68686370,,https://prod.danawa.com/info/?pcode=68686370&cate=112782,True
앱코 K669 카일 광축 게이밍,앱코,66130,https://img.danuri.io/catalog-image/820/690/019/71eac0988c0f4b1ca1abe027312fcf30.jpg?shrink=130:130&_v=20260617080448,무접점 광축,유선,풀배열,55g,1260,유선,한/영 정각,레인보우 백라이트,,,카일,19690820,,https://prod.danawa.com/info/?pcode=19690820&cate=112782,True
ATK RS6 Air,ATK,89000,https://img.danuri.io/catalog-image/174/663/122/93d3ad81933640c792614a30166b2989.jpeg?shrink=130:130&_v=20260617080438,무접점 자석축,유선,미니,35g,710,유선,영문 정각,RGB 백라이트,,,,122663174,,https://prod.danawa.com/info/?pcode=122663174&cate=112782,True
Razer BlackWidow V4 75% 기계식 Phantom White,Razer,319000,https://img.danuri.io/catalog-image/652/712/099/093ab44840cc41b4a5a4e94a2cd6c2fa.jpg?shrink=130:130&_v=20260617185752,기계식,유선,미니,50g,815,유선,정보없음,RGB 백라이트,,,RAZER,99712652,,https://prod.danawa.com/info/?pcode=99712652&cate=112782,True
COX CK88 유무선 기계식 민트화이트,COX,83000,https://img.danuri.io/catalog-image/902/787/068/76f295e2b9fb4435a5c17cea8938029d.jpg?shrink=130:130&_v=20260617080451,기계식,유선+무선,텐키리스,43g,1410,"전용동글(리시버), 블루투스",영문 정각,레인보우 백라이트,딥씨축,,,68787860,,https://prod.danawa.com/info/?pcode=68787860&cate=112782,True
COX CK88 유무선 기계식 민트화이트,COX,67000,https://img.danuri.io/catalog-image/902/787/068/76f295e2b9fb4435a5c17cea8938029d.jpg?shrink=130:130&_v=20260617080451,기계식,유선+무선,텐키리스,43g,1410,"전용동글(리시버), 블루투스",영문 정각,레인보우 백라이트,베이비 화이트축,,,68787902,,https://prod.danawa.com/info/?pcode=68787902&cate=112782,True
CORSAIR K70 RGB TKL OPX 광적축 게이밍 기계식 키보드,CORSAIR,199000,https://img.danuri.io/catalog-image/421/795/016/8787e71493e547dab11f5dfb732dc806.jpg?shrink=130:130&_v=20260617164013,무접점 광축,유선,텐키리스,45g,930,유선,한/영 정각,RGB 백라이트,,,독자 규격,16795421,,https://prod.danawa.com/info/?pcode=16795421&cate=112782,True
COX CK01 TKL PBT 기계식 키보드,COX,29900,https://img.danuri.io/catalog-image/789/393/014/cbe03197e1974f5cb139dab13c794d94.jpg?shrink=130:130&_v=20260617080551,기계식,유선,텐키리스,45g,700,유선,한/영 정각,없음,적축,,,14393789,,https://prod.danawa.com/info/?pcode=14393789&cate=112782,True
COX CK01 TKL PBT 기계식 키보드,COX,29900,https://img.danuri.io/catalog-image/789/393/014/cbe03197e1974f5cb139dab13c794d94.jpg?shrink=130:130&_v=20260617080551,기계식,유선,텐키리스,45g,700,유선,한/영 정각,없음,갈축,,,14393792,,https://prod.danawa.com/info/?pcode=14393792&cate=112782,True
COX CK01 TKL PBT 기계식 키보드,COX,29620,https://img.danuri.io/catalog-image/789/393/014/cbe03197e1974f5cb139dab13c794d94.jpg?shrink=130:130&_v=20260617080551,기계식,유선,텐키리스,45g,700,유선,한/영 정각,없음,청축,,,14393774,,https://prod.danawa.com/info/?pcode=14393774&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 블랙,앱코,40900,https://img.danuri.io/catalog-image/162/321/009/586b397a08f44942bb643c071fe2617e.jpg?shrink=130:130&_v=20260617080613,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,적축,,GTMX,9326487,,https://prod.danawa.com/info/?pcode=9326487&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 블랙,앱코,40900,https://img.danuri.io/catalog-image/162/321/009/586b397a08f44942bb643c071fe2617e.jpg?shrink=130:130&_v=20260617080613,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,갈축,,GTMX,9326469,,https://prod.danawa.com/info/?pcode=9326469&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 블랙,앱코,40900,https://img.danuri.io/catalog-image/162/321/009/586b397a08f44942bb643c071fe2617e.jpg?shrink=130:130&_v=20260617080613,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,청축,,GTMX,9321162,,https://prod.danawa.com/info/?pcode=9321162&cate=112782,True
